Area,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,Saturday,,Sunday,
,Time interval,Temperature,Time interval,Temperature,Time interval,Temperature,Time interval,Temperature,Time interval,Temperature,Time interval,Temperature,Time interval,Temperature
Living,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20
,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,20,06:30 - 08:00,20
,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,22,08:00 - 13:30,22
,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,22,13:30 - 16:00,22
,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,22,16:00 - 17:00,22
,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22
,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22
,21:30 - 23:00,20,21:30 - 23:00,20,21:30 - 23:00,20,21:30 - 23:00,20,21:30 - 23:00,20,21:30 - 23:00,22,21:30 - 23:00,22
,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20
Birou,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20
,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,20,06:30 - 08:00,20
,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,22,08:00 - 13:30,22
,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,22,13:30 - 16:00,22
,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,22,16:00 - 17:00,22
,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22
,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22,19:00 - 21:30,22
,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22
,23:00 - 00:00,22,23:00 - 00:00,22,23:00 - 00:00,22,23:00 - 00:00,22,23:00 - 00:00,22,23:00 - 00:00,22,23:00 - 00:00,22
Dormitor,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20
,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,21,06:30 - 08:00,21
,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,21,08:00 - 13:30,21
,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20
,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20,16:00 - 17:00,20
,17:00 - 19:00,20,17:00 - 19:00,20,17:00 - 19:00,20,17:00 - 19:00,20,17:00 - 19:00,20,17:00 - 19:00,20,17:00 - 19:00,20
,19:00 - 21:30,20,19:00 - 21:30,20,19:00 - 21:30,20,19:00 - 21:30,20,19:00 - 21:30,20,19:00 - 21:30,20,19:00 - 21:30,20
,21:30 - 23:00,20,21:30 - 23:00,20,21:30 - 23:00,20,21:30 - 23:00,20,21:30 - 23:00,20,21:30 - 23:00,20,21:30 - 23:00,20
,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20
Cam Luca,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20,00:00 - 06:30,20
,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,22,06:30 - 08:00,20,06:30 - 08:00,20
,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,20,08:00 - 13:30,22,08:00 - 13:30,22
,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,20,13:30 - 16:00,22,13:30 - 16:00,22
,16:00 - 17:00,20,16:00 - 17:00,22,16:00 - 17:00,22,16:00 - 17:00,22,16:00 - 17:00,20,16:00 - 17:00,22,16:00 - 17:00,22
,17:00 - 19:00,20,17:00 - 19:00,20,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22,17:00 - 19:00,22
,19:00 - 21:30,20,19:00 - 21:30,21,19:00 - 21:30,21,19:00 - 21:30,21,19:00 - 21:30,21,19:00 - 21:30,22,19:00 - 21:30,22
,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22,21:30 - 23:00,22
,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,20,23:00 - 00:00,22,23:00 - 00:00,22
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
